condition,seed,realized_distance,node_count,edge_count,total_undirected_weight,success,first_passage_step,peak_goal_activation,final_goal_rank
fixed_irrelevant,35,8,10,9,9.6928376439,0,,0.0000000000,9
mixed,35,2,10,24,9.6928376439,1,11,0.4286738317,5
fixed_initial,36,6,10,9,9.4917972568,0,,0.0005658881,6
fixed_useful,36,2,10,9,9.4917972568,1,7,1.2477053607,2
fixed_irrelevant,36,8,10,9,9.4917972568,0,,0.0000000000,9
mixed,36,2,10,23,9.4917972568,1,13,0.4032719971,5
fixed_initial,37,6,10,9,9.2444791431,0,,0.0000000000,9
fixed_useful,37,2,10,9,9.2444791431,1,8,1.0130117519,2
fixed_irrelevant,37,8,10,9,9.2444791431,0,,0.0000000000,9
mixed,37,2,10,23,9.2444791431,1,18,0.3197909878,9
fixed_initial,38,6,10,9,8.8218057476,0,,0.0000000000,9
fixed_useful,38,2,10,9,8.8218057476,1,8,1.1351578153,2
fixed_irrelevant,38,8,10,9,8.8218057476,0,,0.0000000000,9
mixed,38,2,10,24,8.8218057476,1,11,0.4325973304,4
fixed_initial,39,6,10,9,8.4733912926,0,,0.0001807073,6
fixed_useful,39,2,10,9,8.4733912926,1,8,1.1617516541,2
fixed_irrelevant,39,8,10,9,8.4733912926,0,,0.0000000000,9
mixed,39,2,10,21,8.4733912926,1,11,0.4513364328,5
fixed_initial,40,6,10,9,9.0533472259,0,,0.0000000000,9
fixed_useful,40,2,10,9,9.0533472259,1,7,1.2037743965,2
fixed_irrelevant,40,8,10,9,9.0533472259,0,,0.0000000000,9
mixed,40,2,10,19,9.0533472259,1,13,0.3863469985,3
fixed_initial,41,6,10,9,9.0511637857,0,,0.0000214615,6
fixed_useful,41,2,10,9,9.0511637857,1,8,1.0734656505,2
fixed_irrelevant,41,8,10,9,9.0511637857,0,,0.0000000000,9
mixed,41,2,10,20,9.0511637857,1,12,0.4028081512,7
fixed_initial,42,6,10,9,8.7907554127,0,,0.0000000000,9
fixed_useful,42,2,10,9,8.7907554127,1,8,1.0171904276,2
fixed_irrelevant,42,8,10,9,8.7907554127,0,,0.0000000000,9
mixed,42,2,10,22,8.7907554127,1,11,0.4222445958,5
fixed_initial,43,6,10,9,8.7105832961,0,,0.0010681425,6
fixed_useful,43,2,10,9,8.7105832961,1,7,1.2474967305,2
fixed_irrelevant,43,8,10,9,8.7105832961,0,,0.0000000000,9
mixed,43,2,10,19,8.7105832961,1,17,0.2744548545,7
fixed_initial,44,6,10,9,8.2102453669,0,,0.0000000000,9
fixed_useful,44,2,10,9,8.2102453669,1,8,1.2024605608,2
fixed_irrelevant,44,8,10,9,8.2102453669,0,,0.0000000000,9
mixed,44,2,10,21,8.2102453669,1,10,0.4709685188,4
fixed_initial,45,6,10,9,7.9905925251,0,,0.0000000000,9
fixed_useful,45,2,10,9,7.9905925251,1,7,1.1736868023,2
fixed_irrelevant,45,8,10,9,7.9905925251,0,,0.0000000000,9
mixed,45,2,10,22,7.9905925251,1,13,0.3877249020,5
fixed_initial,46,6,10,9,9.2176148854,0,,0.0000000000,9
fixed_useful,46,2,10,9,9.2176148854,1,8,1.0476484213,2
fixed_irrelevant,46,8,10,9,9.2176148854,0,,0.0000000000,9
mixed,46,2,10,20,9.2176148854,1,10,0.4615385726,3
fixed_initial,47,6,10,9,8.3868536259,0,,0.0000000000,9
fixed_useful,47,2,10,9,8.3868536259,1,8,1.1591040770,2
fixed_irrelevant,47,8,10,9,8.3868536259,0,,0.0000000000,9
mixed,47,2,10,23,8.3868536259,1,13,0.3886642615,5
fixed_initial,48,6,10,9,9.0874414051,0,,0.0000000000,9
fixed_useful,48,2,10,9,9.0874414051,1,8,1.0743186488,2
fixed_irrelevant,48,8,10,9,9.0874414051,0,,0.0000000000,9
mixed,48,2,10,18,9.0874414051,1,14,0.3453423126,6
fixed_initial,49,6,10,9,8.3355174843,0,,0.0000000000,9
fixed_useful,49,2,10,9,8.3355174843,1,7,1.1757351075,2
fixed_irrelevant,49,8,10,9,8.3355174843,0,,0.0000000000,9
mixed,49,2,10,22,8.3355174843,1,12,0.4324851072,4
