topology,propagation_rule,policy,evaluation_threshold,patience_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count,variable_dwell_seed_fraction
branched_path,symmetric_normalized,progress_coupled,0.005,40,150,1.0000,0.35379674,53.873,1.553,0.2867
branched_path,symmetric_normalized,progress_coupled,0.005,60,150,0.7333,0.19814258,26.800,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.01,1,150,1.0000,0.21280424,58.500,66.440,1.0000
branched_path,symmetric_normalized,progress_coupled,0.01,2,150,1.0000,0.34435961,81.880,19.073,1.0000
branched_path,symmetric_normalized,progress_coupled,0.01,3,150,1.0000,0.46546533,105.000,5.180,0.9733
branched_path,symmetric_normalized,progress_coupled,0.01,4,150,1.0000,0.47920189,110.073,2.660,0.5133
branched_path,symmetric_normalized,progress_coupled,0.01,5,150,1.0000,0.48321903,112.587,1.440,0.1133
branched_path,symmetric_normalized,progress_coupled,0.01,7,150,1.0000,0.47983955,108.053,1.440,0.1133
branched_path,symmetric_normalized,progress_coupled,0.01,10,150,1.0000,0.47524391,103.413,1.440,0.1133
branched_path,symmetric_normalized,progress_coupled,0.01,15,150,1.0000,0.46568800,95.847,1.440,0.1733
branched_path,symmetric_normalized,progress_coupled,0.01,20,150,1.0000,0.45510987,89.353,1.440,0.2400
branched_path,symmetric_normalized,progress_coupled,0.01,30,150,1.0000,0.41721562,72.627,1.440,0.2400
branched_path,symmetric_normalized,progress_coupled,0.01,40,150,1.0000,0.37002629,59.013,1.440,0.2533
branched_path,symmetric_normalized,progress_coupled,0.01,60,150,0.8000,0.24182266,33.600,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.02,1,150,1.0000,0.17507115,50.833,77.713,1.0000
branched_path,symmetric_normalized,progress_coupled,0.02,2,150,1.0000,0.21752227,58.447,36.587,1.0000
branched_path,symmetric_normalized,progress_coupled,0.02,3,150,1.0000,0.29026798,70.647,18.813,1.0000
branched_path,symmetric_normalized,progress_coupled,0.02,4,150,1.0000,0.41138877,91.367,8.273,1.0000
branched_path,symmetric_normalized,progress_coupled,0.02,5,150,1.0000,0.47176544,104.760,3.413,0.7333
branched_path,symmetric_normalized,progress_coupled,0.02,7,150,1.0000,0.47985222,107.947,1.473,0.1333
branched_path,symmetric_normalized,progress_coupled,0.02,10,150,1.0000,0.47514200,103.160,1.473,0.1333
branched_path,symmetric_normalized,progress_coupled,0.02,15,150,1.0000,0.46520587,95.373,1.473,0.1333
branched_path,symmetric_normalized,progress_coupled,0.02,20,150,1.0000,0.45443291,88.833,1.473,0.2667
branched_path,symmetric_normalized,progress_coupled,0.02,30,150,1.0000,0.41555403,71.887,1.473,0.2667
branched_path,symmetric_normalized,progress_coupled,0.02,40,150,1.0000,0.36401982,57.573,1.473,0.2667
branched_path,symmetric_normalized,progress_coupled,0.02,60,150,0.7933,0.23196788,31.600,1.000,0.0000
branched_path,symmetric_normalized,progress_coupled,0.04,1,150,1.0000,0.16916424,49.747,79.207,1.0000
branched_path,symmetric_normalized,progress_coupled,0.04,2,150,1.0000,0.17552046,49.487,44.040,1.0000
branched_path,symmetric_normalized,progress_coupled,0.04,3,150,1.0000,0.19833293,52.673,28.300,1.0000
branched_path,symmetric_normalized,progress_coupled,0.04,4,150,1.0000,0.23046573,57.900,19.260,1.0000
branched_path,symmetric_normalized,progress_coupled,0.04,5,150,1.0000,0.27482880,65.773,13.287,1.0000
branched_path,symmetric_normalized,progress_coupled,0.04,7,150,1.0000,0.39348775,84.953,5.460,1.0000
branched_path,symmetric_normalized,progress_coupled,0.04,10,150,1.0000,0.47538607,102.873,1.520,0.1467
branched_path,symmetric_normalized,progress_coupled,0.04,15,150,1.0000,0.46537371,94.740,1.520,0.1467
