topology,propagation_rule,decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
path,source_normalized,2,0.0005,2132,1,1.0499998951,106,2
path,source_normalized,2,0.0005,2133,1,1.2107739113,116,2
path,source_normalized,2,0.0005,2134,1,1.2140011506,118,1
path,source_normalized,2,0.0005,2135,1,1.1491054362,118,1
path,source_normalized,2,0.0005,2136,1,1.0792579451,116,2
path,source_normalized,2,0.0005,2137,1,1.1735288424,118,1
path,source_normalized,2,0.0005,2138,1,1.1690249301,106,2
path,source_normalized,2,0.0005,2139,1,1.1647856614,118,1
path,source_normalized,2,0.0005,2140,1,1.1248960009,118,1
path,source_normalized,2,0.0005,2141,1,1.0491683981,106,2
path,source_normalized,2,0.0005,2142,1,1.1025483932,118,1
path,source_normalized,2,0.0005,2143,1,1.0351155290,116,2
path,source_normalized,2,0.0005,2144,1,1.0408829846,116,2
path,source_normalized,2,0.0005,2145,1,1.1749852759,110,2
path,source_normalized,2,0.0005,2146,1,1.0307961139,116,2
path,source_normalized,2,0.0005,2147,1,1.1703198221,118,1
path,source_normalized,2,0.0005,2148,1,1.1278444782,116,2
path,source_normalized,2,0.0005,2149,1,1.1292258488,116,2
path,source_normalized,3,0.0005,2000,1,1.2054002608,114,2
path,source_normalized,3,0.0005,2001,1,1.0676910987,114,2
path,source_normalized,3,0.0005,2002,1,1.1064203119,117,1
path,source_normalized,3,0.0005,2003,1,1.3080308317,117,1
path,source_normalized,3,0.0005,2004,1,1.1798015878,114,2
path,source_normalized,3,0.0005,2005,1,1.0438875504,117,1
path,source_normalized,3,0.0005,2006,1,1.0726002903,117,1
path,source_normalized,3,0.0005,2007,1,1.2144107086,117,1
path,source_normalized,3,0.0005,2008,1,1.0985507083,117,1
path,source_normalized,3,0.0005,2009,1,1.2317682130,117,1
path,source_normalized,3,0.0005,2010,1,1.1893944775,117,1
path,source_normalized,3,0.0005,2011,1,1.2098585223,117,1
path,source_normalized,3,0.0005,2012,1,1.1403259928,96,2
path,source_normalized,3,0.0005,2013,1,1.0352399948,117,1
path,source_normalized,3,0.0005,2014,1,1.1510684972,117,1
path,source_normalized,3,0.0005,2015,1,1.1632633085,114,2
path,source_normalized,3,0.0005,2016,1,1.0453436058,96,2
path,source_normalized,3,0.0005,2017,1,1.1532766221,117,1
path,source_normalized,3,0.0005,2018,1,1.0454737873,117,1
