topology,propagation_rule,evaluation_threshold,decision_block_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count
path,source_normalized,0.0005,7,150,1.0000,1.11533133,102.453,1.480
path,source_normalized,0.0005,10,150,1.0000,1.08955219,94.933,1.480
path,source_normalized,0.0005,15,150,1.0000,1.03555610,83.900,1.480
path,source_normalized,0.0005,20,150,1.0000,0.94023793,72.533,1.373
path,source_normalized,0.0005,30,150,0.9800,0.78101459,56.600,1.173
path,source_normalized,0.0005,40,150,0.9800,0.73921924,47.200,1.140
path,source_normalized,0.0005,60,150,0.8667,0.61710632,31.200,1.000
path,source_normalized,0.001,1,150,1.0000,0.97513966,86.720,6.500
path,source_normalized,0.001,2,150,1.0000,1.12635500,109.813,2.527
path,source_normalized,0.001,3,150,1.0000,1.14082664,112.560,1.547
path,source_normalized,0.001,4,150,1.0000,1.13547602,110.000,1.547
path,source_normalized,0.001,5,150,1.0000,1.12895057,107.433,1.547
path,source_normalized,0.001,7,150,1.0000,1.11275962,101.567,1.547
path,source_normalized,0.001,10,150,1.0000,1.08030210,92.667,1.547
path,source_normalized,0.001,15,150,1.0000,1.01705921,80.600,1.547
path,source_normalized,0.001,20,150,1.0000,0.90474012,67.867,1.427
path,source_normalized,0.001,30,150,0.9867,0.72749726,50.800,1.180
path,source_normalized,0.001,40,150,0.9867,0.68286309,41.867,1.140
path,source_normalized,0.001,60,150,0.8733,0.56542019,27.200,1.000
path,source_normalized,0.002,1,150,1.0000,0.96946322,84.787,7.873
path,source_normalized,0.002,2,150,1.0000,1.06873139,97.893,3.960
path,source_normalized,0.002,3,150,1.0000,1.14248696,113.340,1.540
path,source_normalized,0.002,4,150,1.0000,1.13666767,110.320,1.540
path,source_normalized,0.002,5,150,1.0000,1.13035971,107.767,1.540
path,source_normalized,0.002,7,150,1.0000,1.11713948,102.827,1.540
path,source_normalized,0.002,10,150,1.0000,1.08453387,93.933,1.540
path,source_normalized,0.002,15,150,1.0000,1.02268963,81.900,1.540
path,source_normalized,0.002,20,150,1.0000,0.91173893,69.467,1.427
path,source_normalized,0.002,30,150,0.9867,0.74649121,52.400,1.207
path,source_normalized,0.002,40,150,0.9867,0.68665715,42.667,1.147
path,source_normalized,0.002,60,150,0.8667,0.56394497,27.600,1.000
path,source_normalized,0.005,1,150,1.0000,0.96204684,84.933,9.733
path,source_normalized,0.005,2,150,1.0000,1.03323296,93.013,4.820
path,source_normalized,0.005,3,150,1.0000,1.09303926,104.520,2.620
path,source_normalized,0.005,4,150,1.0000,1.13983735,111.413,1.553
path,source_normalized,0.005,5,150,1.0000,1.13310888,108.167,1.553
path,source_normalized,0.005,7,150,1.0000,1.12051754,103.293,1.553
path,source_normalized,0.005,10,150,1.0000,1.08978116,94.067,1.553
path,source_normalized,0.005,15,150,1.0000,1.02812636,80.800,1.553
path,source_normalized,0.005,20,150,1.0000,0.91565869,68.000,1.453
path,source_normalized,0.005,30,150,1.0000,0.74417852,51.800,1.213
path,source_normalized,0.005,40,150,1.0000,0.68397152,41.600,1.147
path,source_normalized,0.005,60,150,0.8667,0.56345590,26.800,1.000
path,source_normalized,0.01,1,150,1.0000,0.90884005,80.580,12.393
path,source_normalized,0.01,2,150,1.0000,1.01016271,92.213,5.947
path,source_normalized,0.01,3,150,1.0000,1.02390070,90.960,4.180
path,source_normalized,0.01,4,150,1.0000,1.08178843,100.560,2.513
path,source_normalized,0.01,5,150,1.0000,1.13155928,108.900,1.507
path,source_normalized,0.01,7,150,1.0000,1.11536279,103.667,1.507
path,source_normalized,0.01,10,150,1.0000,1.08504385,96.200,1.507
path,source_normalized,0.01,15,150,1.0000,1.02133303,83.900,1.507
path,source_normalized,0.01,20,150,1.0000,0.92835552,72.667,1.407
path,source_normalized,0.01,30,150,1.0000,0.79182895,56.200,1.207
path,source_normalized,0.01,40,150,1.0000,0.72246612,45.067,1.140
path,source_normalized,0.01,60,150,0.8867,0.60961086,29.600,1.000
path,source_normalized,0.02,1,150,1.0000,0.92537933,80.713,15.640
path,source_normalized,0.02,2,150,1.0000,1.00535086,90.147,7.520
path,source_normalized,0.02,3,150,1.0000,1.06324073,94.780,5.040
path,source_normalized,0.02,4,150,1.0000,0.98918744,86.027,3.933
path,source_normalized,0.02,5,150,1.0000,1.05999066,98.433,2.487
path,source_normalized,0.02,7,150,1.0000,1.12813639,106.233,1.540
path,source_normalized,0.02,10,150,1.0000,1.10651239,99.133,1.540
path,source_normalized,0.02,15,150,1.0000,1.05445385,86.600,1.540
path,source_normalized,0.02,20,150,1.0000,0.97633927,73.867,1.527
path,source_normalized,0.02,30,150,1.0000,0.80006410,56.200,1.260
path,source_normalized,0.02,40,150,1.0000,0.71371056,44.267,1.187
path,source_normalized,0.02,60,150,0.8600,0.55917643,27.600,1.000
path,source_normalized,0.04,1,150,1.0000,0.89675148,76.847,20.880
path,source_normalized,0.04,2,150,1.0000,0.95104917,81.827,10.347
