condition,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,initial_dwell_steps,irrelevant_dwell_steps,switch_count,switch_times,segments
random_block,39,1,16,0.6125706116,6,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,39,1,16,1.1500345235,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,39,1,16,1.1500345235,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,40,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,40,1,7,1.2037743965,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,40,1,13,0.3863469985,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,40,1,31,0.4986281530,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,40,1,46,0.5635973169,3,30,30,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,40,1,31,1.1512192127,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,40,1,31,1.1512192127,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,41,0,,0.0000214615,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,41,1,8,1.0734656505,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,41,1,12,0.4028081512,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,41,1,33,0.4293542370,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,41,1,19,0.6636265917,2,60,45,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,41,1,33,1.0168921176,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,41,1,19,0.3595434282,9,15,15,90,2,"[15,30]","[[""initial"",15],[""useful"",15],[""irrelevant"",90]]"
fixed_initial,42,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,42,1,8,1.0171904276,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,42,1,11,0.4222445958,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,42,1,31,0.4943664199,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,42,1,31,0.3965974141,8,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,42,1,31,0.9756493834,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,42,1,19,0.1506421352,9,15,15,90,2,"[15,30]","[[""initial"",15],[""useful"",15],[""irrelevant"",90]]"
fixed_initial,43,0,,0.0010681425,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,43,1,7,1.2474967305,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,43,1,17,0.2744548545,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,43,1,18,0.4539143152,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,43,1,35,0.4092137467,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,43,1,18,1.2209105151,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,43,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,44,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,44,1,8,1.2024605608,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,44,1,10,0.4709685188,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,44,1,17,0.6091130793,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,44,1,17,0.7259677055,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,44,1,17,1.1084242378,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
random_replay,44,1,17,1.1084242378,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
fixed_initial,45,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,45,1,7,1.1736868023,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,45,1,13,0.3877249020,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,45,1,19,0.5152082073,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,45,1,19,0.6198855527,8,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,45,1,19,1.1439819888,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,45,1,19,1.1439819888,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
