decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
2,0.0005,1146,1,1.1358772126,118,1
2,0.0005,1147,1,1.0608351822,118,1
2,0.0005,1148,1,1.1751345546,118,1
2,0.0005,1149,1,1.1681202818,118,1
2,0.0005,1150,1,1.2207162781,118,1
2,0.0005,1151,1,1.2225627576,118,1
2,0.0005,1152,1,1.1665263140,116,2
2,0.0005,1153,1,1.2485470653,118,1
2,0.0005,1154,1,1.0361773090,118,1
2,0.0005,1155,1,1.2222719377,118,1
2,0.0005,1156,1,1.0980072963,116,2
2,0.0005,1157,1,1.1402445918,116,2
2,0.0005,1158,1,1.0133288717,118,1
2,0.0005,1159,1,1.1992420541,118,1
2,0.0005,1160,1,1.0705253246,118,1
2,0.0005,1161,1,1.0608037932,116,2
2,0.0005,1162,1,1.0132073189,118,1
2,0.0005,1163,1,1.2233537495,118,1
2,0.0005,1164,1,1.2855386574,116,2
2,0.0005,1165,1,1.0206714522,106,2
2,0.0005,1166,1,1.2208337801,116,2
2,0.0005,1167,1,1.1448526511,116,2
2,0.0005,1168,1,1.1141012079,116,2
2,0.0005,1169,1,1.0569120044,118,1
2,0.0005,1170,1,1.1521881914,116,2
2,0.0005,1171,1,1.0996841627,118,1
2,0.0005,1172,1,1.1817946988,118,1
2,0.0005,1173,1,1.0763937332,118,1
2,0.0005,1174,1,1.1820606592,116,2
2,0.0005,1175,1,1.1851471626,118,1
2,0.0005,1176,1,1.0692341217,116,2
2,0.0005,1177,1,1.1470912466,118,1
2,0.0005,1178,1,1.0796517264,118,1
2,0.0005,1179,1,1.0434494346,116,2
2,0.0005,1180,1,1.1314325372,118,1
2,0.0005,1181,1,1.1392355012,118,1
2,0.0005,1182,1,1.0384289713,106,2
2,0.0005,1183,1,1.0823456085,116,2
2,0.0005,1184,1,1.0592281978,106,2
2,0.0005,1185,1,1.0949011444,118,1
2,0.0005,1186,1,1.2141037813,106,2
2,0.0005,1187,1,1.1271518709,118,1
2,0.0005,1188,1,1.2016567796,116,2
2,0.0005,1189,1,1.1172536789,116,2
2,0.0005,1190,1,1.1480844177,116,2
2,0.0005,1191,1,1.1103309925,118,1
2,0.0005,1192,1,1.0631524008,118,1
2,0.0005,1193,1,1.1907475430,118,1
2,0.0005,1194,1,1.0898314205,116,2
2,0.0005,1195,1,1.1463163724,106,2
2,0.0005,1196,1,1.2088622141,116,2
2,0.0005,1197,1,1.0338133107,118,1
2,0.0005,1198,1,1.1131132618,118,1
2,0.0005,1199,1,0.9980554921,116,2
3,0.0005,1000,1,1.1109413017,114,2
3,0.0005,1001,1,0.9996072574,117,1
3,0.0005,1002,1,1.1103009581,102,2
3,0.0005,1003,1,1.1223151129,114,2
3,0.0005,1004,1,1.2310708720,117,1
3,0.0005,1005,1,1.1922952087,114,2
3,0.0005,1006,1,1.0602498527,102,2
3,0.0005,1007,1,1.0995296004,99,2
3,0.0005,1008,1,1.1393489761,96,2
3,0.0005,1009,1,1.1721766172,117,1
3,0.0005,1010,1,1.1852324943,117,1
3,0.0005,1011,1,1.0048750235,96,2
3,0.0005,1012,1,1.0627430010,96,2
3,0.0005,1013,1,1.1164054698,117,1
3,0.0005,1014,1,1.0581855420,102,2
3,0.0005,1015,1,1.1907816537,114,2
3,0.0005,1016,1,1.1289301341,114,2
3,0.0005,1017,1,1.1728343918,114,2
3,0.0005,1018,1,1.2046409804,117,1
3,0.0005,1019,1,1.1813117553,117,1
3,0.0005,1020,1,1.2143357371,117,1
3,0.0005,1021,1,1.0577149001,102,2
3,0.0005,1022,1,1.2578248384,114,2
3,0.0005,1023,1,1.1657536805,117,1
3,0.0005,1024,1,1.0607004913,114,2
3,0.0005,1025,1,1.1029436720,114,2
3,0.0005,1026,1,1.2303075979,117,1
3,0.0005,1027,1,1.2763616670,117,1
3,0.0005,1028,1,1.1383262928,114,2
3,0.0005,1029,1,1.1474475289,117,1
3,0.0005,1030,1,1.0315319605,96,2
3,0.0005,1031,1,1.1217063714,117,1
3,0.0005,1032,1,1.1906112835,117,1
3,0.0005,1033,1,0.9840100425,114,2
3,0.0005,1034,1,1.0995409311,117,1
3,0.0005,1035,1,1.1430578902,102,2
3,0.0005,1036,1,1.2053619693,114,2
3,0.0005,1037,1,1.2789951661,114,2
3,0.0005,1038,1,1.1433209506,114,2
3,0.0005,1039,1,1.0381344437,102,2
3,0.0005,1040,1,1.1774031941,114,2
3,0.0005,1041,1,1.1067595737,114,2
3,0.0005,1042,1,1.1577875494,117,1
3,0.0005,1043,1,1.0228493574,114,2
3,0.0005,1044,1,1.0695783118,114,2
3,0.0005,1045,1,1.1057993778,117,1
3,0.0005,1046,1,1.1943503368,114,2
3,0.0005,1047,1,1.1905515551,114,2
3,0.0005,1048,1,1.1298785826,114,2
3,0.0005,1049,1,1.0994015621,117,1
3,0.0005,1050,1,1.1938388324,117,1
3,0.0005,1051,1,1.1415611163,117,1
3,0.0005,1052,1,1.0903807841,114,2
3,0.0005,1053,1,1.0581121561,96,2
3,0.0005,1054,1,1.2447008766,117,1
3,0.0005,1055,1,1.2070718520,117,1
3,0.0005,1056,1,1.2633075149,117,1
3,0.0005,1057,1,1.0890714708,117,1
3,0.0005,1058,1,1.1153233775,117,1
3,0.0005,1059,1,1.2126295234,117,1
3,0.0005,1060,1,1.1113854785,117,1
3,0.0005,1061,1,1.1358032901,117,1
3,0.0005,1062,1,1.1764394391,114,2
3,0.0005,1063,1,1.2560394663,114,2
3,0.0005,1064,1,1.1023940302,117,1
3,0.0005,1065,1,1.0230838777,117,1
3,0.0005,1066,1,1.0827746947,117,1
3,0.0005,1067,1,1.2863554527,117,1
3,0.0005,1068,1,1.0550654488,99,2
3,0.0005,1069,1,1.1186100434,117,1
3,0.0005,1070,1,1.0607393672,114,2
3,0.0005,1071,1,1.3038228730,114,2
3,0.0005,1072,1,1.0780668886,117,1
3,0.0005,1073,1,1.0790554530,117,1
3,0.0005,1074,1,1.0698008635,117,1
3,0.0005,1075,1,1.2145933914,114,2
3,0.0005,1076,1,1.0456648058,102,2
3,0.0005,1077,1,1.0240327289,102,2
3,0.0005,1078,1,1.2386591212,114,2
3,0.0005,1079,1,1.1608639336,114,2
3,0.0005,1080,1,1.1732899027,114,2
3,0.0005,1081,1,1.1274651286,114,2
3,0.0005,1082,1,1.2488612489,117,1
3,0.0005,1083,1,1.2199321763,117,1
3,0.0005,1084,1,1.1374647851,117,1
3,0.0005,1085,1,1.1419717117,117,1
3,0.0005,1086,1,1.1450684106,114,2
3,0.0005,1087,1,1.2813104035,117,1
3,0.0005,1088,1,1.1097238105,117,1
3,0.0005,1089,1,1.1486360217,117,1
3,0.0005,1090,1,1.0817574934,102,2
3,0.0005,1091,1,1.2121218043,114,2
3,0.0005,1092,1,1.1246103661,117,1
3,0.0005,1093,1,1.2054003615,117,1
3,0.0005,1094,1,1.1507728706,117,1
3,0.0005,1095,1,1.1107935440,117,1
3,0.0005,1096,1,1.1762734870,102,2
3,0.0005,1097,1,1.0489551299,117,1
3,0.0005,1098,1,1.1692053595,117,1
3,0.0005,1099,1,1.0674233502,96,2
3,0.0005,1100,1,1.0851142125,117,1
3,0.0005,1101,1,1.2573009522,114,2
3,0.0005,1102,1,1.0148720514,117,1
3,0.0005,1103,1,1.1279418764,114,2
3,0.0005,1104,1,1.2343867767,117,1
3,0.0005,1105,1,1.0337583638,117,1
3,0.0005,1106,1,1.1182612844,117,1
3,0.0005,1107,1,1.1485343164,117,1
3,0.0005,1108,1,1.1528241331,96,2
3,0.0005,1109,1,1.2356295375,117,1
3,0.0005,1110,1,1.1400088165,114,2
3,0.0005,1111,1,1.1792186248,117,1
3,0.0005,1112,1,1.1669486771,117,1
3,0.0005,1113,1,1.2118732765,114,2
3,0.0005,1114,1,1.0820586510,102,2
3,0.0005,1115,1,1.0396949814,102,2
3,0.0005,1116,1,1.1156642250,117,1
3,0.0005,1117,1,1.0387196989,117,1
3,0.0005,1118,1,1.2120067254,102,2
3,0.0005,1119,1,1.2486281651,117,1
3,0.0005,1120,1,1.0392748456,117,1
3,0.0005,1121,1,1.0927763544,114,2
3,0.0005,1122,1,1.1906710420,114,2
3,0.0005,1123,1,1.1959756862,114,2
3,0.0005,1124,1,1.0454030674,117,1
3,0.0005,1125,1,1.2169596871,114,2
3,0.0005,1126,1,1.1132944218,114,2
3,0.0005,1127,1,1.0763131778,117,1
