decision_block_steps,evaluation_threshold,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,switch_count,first_useful_entry_step
10,0.001,6,1,14,1.1518698941,2,110,1,10
10,0.001,7,1,23,1.0920702582,2,100,2,20
10,0.001,8,1,14,1.2376593413,2,110,1,10
10,0.001,9,1,12,1.0900538475,2,110,1,10
10,0.001,10,1,11,0.8918361120,2,50,2,70
10,0.001,11,1,24,1.1308561682,2,100,2,20
10,0.001,12,1,22,1.1612244265,2,100,2,20
10,0.001,13,1,22,1.1721466318,2,100,2,20
10,0.001,14,1,14,1.2211910206,2,110,1,10
10,0.001,15,1,21,0.9857115356,2,100,2,20
10,0.001,16,1,14,1.1493351745,2,110,1,10
10,0.001,17,1,23,1.1792169465,2,100,2,20
10,0.001,18,1,11,1.0748974951,2,50,2,70
10,0.001,19,1,14,1.1486690056,2,110,1,10
10,0.001,20,1,11,1.1024834343,2,110,1,10
10,0.001,21,1,23,1.1989086506,2,100,2,20
10,0.001,22,1,12,0.9532471739,2,110,1,10
10,0.001,23,1,11,0.9285308142,2,50,2,70
10,0.001,24,1,14,1.1223409387,2,110,1,10
10,0.001,25,1,14,1.2478720302,2,110,1,10
10,0.001,26,1,14,1.0140177867,2,110,1,10
10,0.001,27,1,14,1.1819918103,2,110,1,10
10,0.001,28,1,17,0.9988052288,2,70,2,50
10,0.001,29,1,14,1.1200984310,2,110,1,10
10,0.001,30,1,23,1.0381024373,2,100,2,20
10,0.001,31,1,14,1.1305708252,2,110,1,10
10,0.001,32,1,43,1.0176357216,2,80,2,40
10,0.001,33,1,12,1.0097904077,2,60,2,60
10,0.001,34,1,21,1.1292102956,2,100,2,20
10,0.001,35,1,11,1.1667157946,2,110,1,10
10,0.001,36,1,16,1.1850127005,2,70,2,50
10,0.001,37,1,14,1.0014132033,2,110,1,10
10,0.001,38,1,11,0.9127993169,2,60,2,60
10,0.001,39,1,22,1.1170993755,2,100,2,20
10,0.001,40,1,11,1.2025259693,2,110,1,10
10,0.001,41,1,14,1.0608421199,2,110,1,10
10,0.001,42,1,21,0.9952823359,2,100,2,20
10,0.001,43,1,23,1.1982780699,2,100,2,20
10,0.001,44,1,41,1.1608022092,2,80,2,40
10,0.001,45,1,14,1.1594123088,2,110,1,10
10,0.001,46,1,14,1.0346376406,2,110,1,10
10,0.001,47,1,11,0.9434970807,2,60,2,60
10,0.001,48,1,12,1.0733391515,2,110,1,10
10,0.001,49,1,14,1.1677412989,2,110,1,10
10,0.001,50,1,23,1.0784522594,2,100,2,20
10,0.001,51,1,14,1.1468056579,2,110,1,10
10,0.001,52,1,14,0.9668208844,2,110,1,10
10,0.001,53,1,22,1.1347034253,2,100,2,20
10,0.001,54,1,21,0.9755707314,2,100,2,20
10,0.001,55,1,14,1.2518793829,2,110,1,10
10,0.001,56,1,14,1.0599642885,2,110,1,10
10,0.001,57,1,12,1.2123043926,2,110,1,10
10,0.001,58,1,31,1.0338416028,2,90,2,30
10,0.001,59,1,14,1.2939376928,2,110,1,10
10,0.001,60,1,14,1.1518956543,2,110,1,10
10,0.001,61,1,22,1.1351333298,2,100,2,20
10,0.001,62,1,31,0.9984195913,2,90,2,30
10,0.001,63,1,23,1.0966211819,2,100,2,20
10,0.001,64,1,11,0.8766841185,2,60,2,60
10,0.001,65,1,33,1.0579490943,2,90,2,30
10,0.001,66,1,14,1.1878355901,2,110,1,10
10,0.001,67,1,15,1.1506539956,2,60,2,60
10,0.001,68,1,11,1.1672979442,2,110,1,10
10,0.001,69,1,31,0.9886182144,2,90,2,30
10,0.001,70,1,42,0.9508951923,2,80,2,40
10,0.001,71,1,14,1.1380209439,2,110,1,10
10,0.001,72,1,11,1.2614778994,2,110,1,10
10,0.001,73,1,11,1.1785845779,2,110,1,10
10,0.001,74,1,24,1.0393198561,2,100,2,20
10,0.001,75,1,11,0.9148128337,2,60,2,60
10,0.001,76,1,11,1.1703053632,2,60,2,60
10,0.001,77,1,14,1.0215514539,2,110,1,10
10,0.001,78,1,52,0.8469629522,2,70,2,50
10,0.001,79,1,14,1.1593957521,2,110,1,10
10,0.001,80,1,33,1.0882442301,2,90,2,30
10,0.001,81,1,14,1.1235693426,2,110,1,10
10,0.001,82,1,14,1.1659149970,2,110,1,10
10,0.001,83,1,32,1.1171479716,2,90,2,30
10,0.001,84,1,11,0.9612537402,2,50,2,70
10,0.001,85,1,21,1.1577315934,2,100,2,20
10,0.001,86,1,21,1.0087845027,2,100,2,20
10,0.001,87,1,11,0.7769592864,2,50,2,70
10,0.001,88,1,14,1.1016695844,2,110,1,10
10,0.001,89,1,23,1.2332746708,2,100,2,20
10,0.001,90,1,23,1.0704871105,2,100,2,20
10,0.001,91,1,14,1.1628519450,2,110,1,10
10,0.001,92,1,11,0.9323677262,2,50,2,70
10,0.001,93,1,11,1.0795400379,2,110,1,10
10,0.001,94,1,14,1.0402471764,2,110,1,10
10,0.001,95,1,32,1.0645768948,2,90,2,30
10,0.001,96,1,14,1.2294980051,2,110,1,10
10,0.001,97,1,12,1.1364301894,2,60,2,60
10,0.001,98,1,14,1.2277222164,2,110,1,10
10,0.001,99,1,31,1.0230416526,2,90,2,30
15,0.001,0,1,33,1.0536621677,2,90,2,30
15,0.001,1,1,18,1.2606221765,2,105,1,15
15,0.001,2,1,16,1.1321419694,2,105,1,15
15,0.001,3,1,31,1.1099515955,2,90,2,30
15,0.001,4,1,31,1.0798882666,2,90,2,30
15,0.001,5,1,63,0.8742735009,2,60,2,60
15,0.001,6,1,18,1.1391501835,2,105,1,15
15,0.001,7,1,32,1.0580265158,2,90,2,30
15,0.001,8,1,19,1.2236624586,2,105,1,15
15,0.001,9,1,16,1.0848822363,2,105,1,15
15,0.001,10,1,16,0.7429599495,2,30,2,90
15,0.001,11,1,33,1.0865509296,2,90,2,30
15,0.001,12,1,32,1.1219818816,2,90,2,30
15,0.001,13,1,31,1.1385402911,2,90,2,30
15,0.001,14,1,19,1.2062011773,2,105,1,15
15,0.001,15,1,31,0.9835795769,2,90,2,30
15,0.001,16,1,18,1.1395095184,2,105,1,15
15,0.001,17,1,33,1.1398987819,2,90,2,30
15,0.001,18,1,16,0.9616718431,2,30,2,90
